"Time","Lazada.Group","Carousell","tiktok.shop","ZALORA","Shopee.Philippines","fb.marketplace","X11.11.sale","X12.12.sale"
"2021-06-01",100,5,0,9,3,0,0,0
"2021-07-01",93,6,0,9,3,0,0,0
"2021-08-01",95,5,0,8,3,0,0,0
"2021-09-01",88,5,0,7,3,0,0,0
"2021-10-01",72,4,0,7,3,0,0,0
"2021-11-01",82,4,0,9,4,0,1,0
"2021-12-01",97,5,0,12,4,0,0,1
"2022-01-01",87,8,0,9,3,0,0,0
"2022-02-01",75,6,0,8,2,0,0,0
"2022-03-01",74,6,0,9,3,0,0,0
"2022-04-01",66,7,0,7,2,0,0,0
"2022-05-01",62,7,2,8,0,0,0,0
"2022-06-01",71,7,3,9,2,0,0,0
"2022-07-01",74,10,5,9,3,0,0,0
"2022-08-01",68,9,7,8,3,0,0,0
"2022-09-01",62,7,7,7,3,0,0,0
"2022-10-01",72,7,7,8,4,0,0,0
"2022-11-01",76,8,8,10,4,0,1,0
"2022-12-01",85,9,7,11,5,0,0,1
"2023-01-01",72,8,6,1,4,0,0,0
"2023-02-01",72,8,6,0,4,0,0,0
"2023-03-01",70,7,5,0,4,0,0,0
"2023-04-01",63,7,4,0,3,0,0,0
"2023-05-01",61,7,4,0,3,0,0,0
"2023-06-01",69,8,6,0,3,0,0,0
"2023-07-01",70,9,5,0,2,0,0,0
"2023-08-01",63,8,5,0,0,0,0,0
"2023-09-01",61,7,4,0,0,0,0,0
"2023-10-01",56,8,4,0,0,0,0,0
"2023-11-01",69,8,5,0,0,0,1,0
"2023-12-01",72,7,5,0,7,0,0,1
"2024-01-01",56,7,5,0,43,0,0,0
"2024-02-01",57,7,4,0,9,0,0,0
"2024-03-01",59,7,4,0,10,0,0,0
"2024-04-01",51,7,5,0,9,0,0,0
"2024-05-01",51,7,4,0,9,0,0,0
"2024-06-01",56,8,5,0,8,0,0,0
"2024-07-01",57,8,6,0,10,0,0,0
"2024-08-01",53,7,5,0,7,0,0,0
"2024-09-01",67,7,4,0,6,0,0,0
"2024-10-01",50,7,5,0,5,0,0,0
"2024-11-01",64,7,5,6,4,0,1,0
"2024-12-01",64,7,6,6,5,0,0,1
"2025-01-01",48,7,5,4,4,0,0,0
"2025-02-01",50,7,5,4,3,0,0,0
"2025-03-01",58,6,5,4,3,0,0,0
"2025-04-01",51,7,5,4,1,0,0,0
"2025-05-01",50,6,5,4,1,0,0,0
"2025-06-01",54,6,5,4,0,0,0,0
"2025-07-01",45,6,5,3,1,0,0,0
"2025-08-01",43,6,5,4,0,0,0,0
"2025-09-01",44,6,5,3,1,0,0,0
"2025-10-01",41,6,6,4,0,0,0,0
"2025-11-01",50,6,7,5,0,0,1,0
"2025-12-01",49,6,9,5,0,0,0,1
"2026-01-01",36,6,6,4,1,0,0,0
"2026-02-01",34,5,6,3,0,0,0,0
"2026-03-01",43,5,6,4,0,0,0,0
"2026-04-01",44,5,7,4,0,0,0,0
"2026-05-01",39,6,7,4,1,0,0,0
